Maximum fit for each generation: 
Best fit for generation 512: 477
Best fit for generation 513: 477
Best fit for generation 514: 477
Best fit for generation 515: 477
Best fit for generation 516: 477
Best fit for generation 517: 477
Best fit for generation 518: 477
Best fit for generation 519: 477
Best fit for generation 520: 477
Best fit for generation 521: 477
Best fit for generation 522: 477
Best fit for generation 523: 477
Best fit for generation 524: 477
Best fit for generation 525: 477
Best fit for generation 526: 477
Best fit for generation 527: 477
Best fit for generation 528: 477
Best fit for generation 529: 477
Best fit for generation 530: 477
Best fit for generation 531: 477
Best fit for generation 532: 477
Best fit for generation 533: 477
Best fit for generation 534: 477
Best fit for generation 535: 477
Best fit for generation 536: 477
Best fit for generation 537: 477
Best fit for generation 538: 477
Best fit for generation 539: 477
Best fit for generation 540: 477
Best fit for generation 541: 477
Best fit for generation 542: 477
Best fit for generation 543: 477
Best fit for generation 544: 477
Best fit for generation 545: 477
Best fit for generation 546: 477
