Maximum fit for each generation: 
Best fit for generation 1028: 443
Best fit for generation 1029: 443
Best fit for generation 1030: 443
Best fit for generation 1031: 443
Best fit for generation 1032: 443
Best fit for generation 1033: 443
Best fit for generation 1034: 443
Best fit for generation 1035: 443
Best fit for generation 1036: 443
Best fit for generation 1037: 443
Best fit for generation 1038: 443
Best fit for generation 1039: 443
Best fit for generation 1040: 443
Best fit for generation 1041: 443
Best fit for generation 1042: 443
Best fit for generation 1043: 443
Best fit for generation 1044: 443
Best fit for generation 1045: 443
Best fit for generation 1046: 443
Best fit for generation 1047: 443
Best fit for generation 1048: 443
Best fit for generation 1049: 443
Best fit for generation 1050: 443
Best fit for generation 1051: 443
Best fit for generation 1052: 443
Best fit for generation 1053: 443
Best fit for generation 1054: 443
Best fit for generation 1055: 443
Best fit for generation 1056: 443
Best fit for generation 1057: 443
Best fit for generation 1058: 443
Best fit for generation 1059: 443
Best fit for generation 1060: 443
Best fit for generation 1061: 443
Best fit for generation 1062: 443
Best fit for generation 1063: 443
